OldGenus,OldSpecies,NewGenus,NewSpecies
Cryptadenia,grandiflora,Lachnaea,grandiflora
Cullumia,setosa,Cullumia,setosa
Cullumia,squarrosa,Cullumia,squarrosa
Cussonia,thyrsiflora,Cussonia,thyrsiflora
Cymbopogon,marginatus,Cymbopogon,marginatus
Cynanchum,africanum,Cynanchum,africanum
Cynanchum,obtusifolium,Cynanchum,obtusifolium
Cynodon,dactylon,Cynodon,dactylon
Cyphia,bulbosa,Cyphia,bulbosa
Diastella,divaricata,Diastella,divaricata
Dilatris,corymbosa,Dilatris,corymbosa
Dilatris,pillansii,Dilatris,pillansii
Diosma,hirsuta,Diosma,hirsuta
Diosma,oppositifolia,Diosma,oppositifolia
Diospyros,glabra,Diospyros,glabra
Disa,bracteata,Disa,bracteata
Disa,obliqua,Disa,obliqua
Disa,purpurascens,Disa,purpurascens
Dischisma,ciliatum,Dischisma,ciliatum
Disparago,anomala,Disparago,anomala
Disparago,aricoides,Disparago,ericoides
Disparago,ericoides,Disparago,ericoides
Disparago,ericoides (lasiocarpa),Disparago,ericoides
Disparago,lasiocarpa,Disparago,ericoides
Disperis,capensis,Disperis,capensis
Drimia,capensis,Drimia,capensis
Drosanthemum,candens,Drosanthemum,candens
Drosera,aliciae,Drosera,aliciae
Drosera,trinervia,Drosera,trinervia
Edmondia,sesamoides,Edmondia,sesamoides
Ehrharta,bulbosa,Ehrharta,bulbosa
Ehrharta,calycina,Ehrharta,calycina
Ehrharta,ramosa,Ehrharta,ramosa
Ehrharta,rehmannii,Ehrharta,rehmannii
Ehrharta,setacea,Ehrharta,setacea
Ehrharta,villosa,Ehrharta,villosa
Elegia,cuspidata,Elegia,cuspidata
Elegia,filacea,Elegia,filacea
Elegia,juncea,Elegia,juncea
Elegia,neesii,Elegia,neesii
Elegia,nuda,Elegia,nuda
Elegia,nudug,Elegia,nuda
Elegia,persistens,Elegia,persistens
Elegia,stipularis,Elegia,stipularis
Elegia,thyrsifera,Elegia,thyrsifera
Elegia,vaginulata,Elegia,vaginulata
Elegia (Chondropetalum),microcarpum,Elegia,microcarpum
Elegia (Chondropetalum),nuda,Elegia,nuda
Elytropappus,scaber,Elytropappus,scaber
Epischoenus,quadrangularis,Epischoenus,quadrangularis
Eragrostis,capensis,Eragrostis,capensis
Erepsia,anceps,Erepsia,anceps
Erepsia,bracteata,Erepsia,bracteata
Erepsia,promontorii,Erepsia,promontorii
Erharta,ramosa,Ehrharta,ramosa
Erica,abietina,Erica,abietina
Erica,abietina ssp. atrorosea,Erica,abietina
Erica,alabella,Erica,glabella
Erica,axillaris,Erica,axillaris
Erica,blancheana,Erica,hispidula
Erica,bruniades,Erica,bruniades
Erica,capensis,Erica,capensis
Erica,capillaris,Erica,capillaris
Erica,cerinthoides,Erica,cerinthoides
Erica,clavisepala,Erica,clavisepala
Erica,coarctata,Erica,coarctata
Erica,coccinea,Erica,coccinea
Erica,corifolia,Erica,corifolia
Erica,coriifolia,Erica,corifolia
Erica,eburnea,Erica,eburnea
Erica,ericoides,Erica,ericoides
Erica,exleeana,Erica,exleeana
Erica,galabella,Erica,glabella
Erica,glabella,Erica,glabella
Erica,gnaphaloides,Erica,gnaphaloides
Erica,hirtiflora,Erica,hirtiflora
erica,hirtiflora,Erica,hirtiflora
Erica,hispidula,Erica,hispidula
Erica,imbricata,Erica,imbricata
Erica,labialis,Erica,labialis
Erica,laeta,Erica,laeta
Erica,lasciva,Erica,lasciva
Erica,mammosa,Erica,mammosa
Erica,muscosa,Erica,muscosa
Erica,obliqua,Erica,obliqua
Erica,paliiflora,Erica,palliiflora
Erica,palliiflora,Erica,palliiflora
Erica,parviflora,Erica,parviflora
Erica,phylicifolia,Erica,abietina
Erica,plukenetii,Erica,plukenetii
Erica,pulchella,Erica,pulchella
Erica,similis,Erica,similis
Erica,spumosa,Erica,spumosa
Erica,subcapitata,Erica,subcapitata
Erica,subdivaricata,Erica,subdivaricata
Erica,tristis,Erica,tristis
Eriocephalus,africanus,Eriocephalus,africanus
Eriocephalus,racemosus,Eriocephalus,racemosus
Euclea,racemosa,Euclea,racemosa
Euphorbia,caput.medusae,Euphorbia,caput-medusae
Euphorbia,erythrina,Euphorbia,erythrina
Euphorbia,genistoides,Euphorbia,genistoides
Euphorbia,silenifolia,Euphorbia,silenifolia
Euphorbia,tuberosa,Euphorbia,tuberosa
Euryops,abrotanifolius,Euryops,abrotanifolius
Exomis,microphylla,Exomis,microphylla
Falkia,repens,Falkia,repens
Felicia,fruticosa,Felicia,fruticosa
Festuca,scabra,Festuca,scabra
Ficinia,acuminata,Ficinia,acuminata
Ficinia,anceps,Ficinia,anceps
Ficinia,brevifolia,Ficinia,brevifolia
Ficinia,bulbosa,Ficinia,bulbosa
Ficinia,capitella,Ficinia,capitella
Ficinia,deusta,Ficinia,deusta
Ficinia,dunensis,Ficinia,dunensis
Ficinia,ecklonia,Ficinia,ecklonea
Ficinia,filiformis,Ficinia,filiformis
Ficinia,indica,Ficinia,indica
Ficinia,lateralis,Ficinia,lateralis
Ficinia,nigrescens,Ficinia,nigrescens
Ficinia,oligantha,Ficinia,oligantha
Ficinia,paradoxa,Ficinia,paradoxa
Ficinia,pinquior,Ficinia,pinguior
Ficinia,ramosissima,Ficinia,ramosissima
Ficinia,rigida,Ficinia,rigida
Ficinia,secunda,Ficinia,secunda
Ficinia,stolonifera,Ficinia,stolonifera
Ficinia,tenuifolia,Ficinia,filiformis
Ficinia,trichoides,Ficinia,trichodes
Ficinia,zeyheri,Ficinia,zeyheri
Filicia,tenella,Felicia,tenella
Finia,rigida,Ficinia,rigida
Frankenia,repens,Frankenia,repens
Galium,tomentosum,Galium,tomentosum
Gazania,pectinata,Gazania,pectinata
Geissorhiza,juncea,Geissorhiza,juncea
Geissorhiza,tenella,Geissorhiza,tenella
Geranium,incanum,Geranium,incanum
Gerbera,crocea,Gerbera,crocea
Glia,prolifera,Glia,prolifera
Gnidia,imbricata,Gnidia,imbricata
Gnidia,juniperina,Gnidia,juniperifolia
Gnidia,pinifolia,Gnidia,pinifolia
Gnidia,subulata,Gnidia,cuneata
Haemanthus,coccineus,Haemanthus,coccineus
Haplocarpha,lanata,Haplocarpha,lanata
Harveya,tubulosa,Harveya,pauciflora
Helichrysum,crispum,Helichrysum,crispum
Helichrysum,cymosum,Helichrysum,cymosum
Helichrysum,dasyanthum,Helichrysum,dasyanthum
Helichrysum,indicum,Helichrysum,indicum
Helichrysum,niveum,Helichrysum,niveum
Helichrysum,patulum,Helichrysum,patulum
Helichrysum,tinctum,Helichrysum,tinctum
Heliophila,linearis,Heliophila,linearis
Heliophila,scoparia,Heliophila,scoparia
Heliophila ,elongata,Heliophila,elongata
