OldGenus,OldSpecies,NewGenus,NewSpecies
Trachyandra,revoluta,Trachyandra,revoluta
Trachyandra,tabularis,Trachyandra,tabularis
Tribolium,hispidum,Tribolium,hispidum
Tribolium,uniolae,Tribolium,uniolae
Trichocephalus,stipularis,Trichocephalus,stipularis
Trichocephalus (Phylica),stipularis,Trichocephalus,stipularis
Trichogyne,ambigua,Trichogyne,ambigua
Trichogyne,grandiflora,Trichogyne,ambigua
Trichogyne (Ifloga),ambigua,Trichogyne,ambigua
Tripteris,clandestina,Monoculus,monstrosus
Tritoniopsos,dodii,Tritoniopsis,dodii
Tylecodon,paniculatus,Tylecodon,paniculatus
Ursinia,paleacea,Ursinia,paleacea
Ursinia,tenuifolia,Ursinia,tenuifolia
Vellereophyton,dealbatum,Vellereophyton,dealbatum
Viscum,capense,Viscum,capense
Viscum,capensis,Viscum,capense
Wachendorfia,paniculata,Wachendorfia,paniculata
Wahlenbergia,obovata,Wahlenbergia,obovata
Watsonia,borbonica,Watsonia,meriana
Watsonia,meriana,Watsonia,meriana
Watsonia,tabularis,Watsonia,tabularis
Willdenowia,glomerata,Willdenowia,glomerata
Willdenowia,humilis,Willdenowia,humilis
Willdenowia,incurvata,Willdenowia,incurvata
Willdenowia,teres,Willdenowia,teres
Willdnowia,glomerata,Willdenowia,glomerata
Zantedeschia,aethiopica,Zantedeschia,aethiopica
Zygophyllum,flexuosum,Zygophyllum,flexuosum
Zygophyllum,procumbens,Zygophyllum,spinosum
Zygophyllum,spinosum,Zygophyllum,spinosum
